URN,LA,ESTAB,TOTPUPSENDN,NORG,NORB,PNORG,PNORB,TSENSAP,TSENA,TOTSENST,TOTSENAP,PSENSAP,PSENA,PTOTSENST,PTOTSENAP,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMNOFSM,PNUMFSM,PNUMNOFSM,NUMFSMEVER,PNUMFSMEVER
132259,383,1109,SUPP,SUPP,SUPP,SUPP,SUPP,5,0,0,5,100.0,0.0,0.0,100.0,0,5,0,0.0,100.0,0.0,3,SUPP,60.0,SUPP,4.0,80.0
134158,383,1110,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
131150,383,1111,21,10,11,47.6,52.4,21,0,0,21,100.0,0.0,0.0,100.0,0,21,0,0.0,100.0,0.0,9,12,42.9,57.1,16.0,76.2
134317,383,2002,230,99,131,43.0,57.0,24,8,SUPP,23,10.4,3.5,SUPP,10.0,5,180,0,2.7,97.3,0.0,42,188,18.3,81.7,83.0,36.1
138673,383,2005,262,135,127,51.5,48.5,30,23,SUPP,29,11.5,8.8,SUPP,11.1,136,45,0,75.1,24.9,0.0,66,144,31.4,68.6,91.0,43.3
138973,383,2006,291,139,152,47.8,52.2,21,6,3,18,7.2,2.1,1.0,6.2,26,177,SUPP,12.7,86.3,SUPP,124,116,51.7,48.3,165.0,68.8
138986,383,2007,423,213,210,50.4,49.6,47,62,SUPP,45,11.1,14.7,SUPP,10.6,134,175,SUPP,43.2,56.5,SUPP,193,179,51.9,48.1,246.0,66.3
139015,383,2008,486,242,244,49.8,50.2,56,81,3,53,11.5,16.7,0.6,10.9,171,186,0,47.9,52.1,0.0,227,190,54.4,45.6,287.0,68.8
139077,383,2010,471,236,235,50.1,49.9,49,85,SUPP,48,10.4,18.0,SUPP,10.2,130,228,0,36.3,63.7,0.0,200,221,47.5,52.5,270.0,64.4
139688,383,2011,18,5,13,27.8,72.2,SUPP,SUPP,0,SUPP,SUPP,SUPP,0.0,SUPP,0,0,0,0.0,0.0,0.0,0,18,0.0,100.0,0.0,0.0
140413,383,2014,443,233,210,52.6,47.4,34,12,SUPP,33,7.7,2.7,SUPP,7.4,285,54,SUPP,83.6,15.8,SUPP,139,261,34.8,65.3,196.0,49.1
107809,383,2270,338,167,171,49.4,50.6,19,11,0,19,5.6,3.3,0.0,5.6,6,173,0,3.4,96.6,0.0,22,243,8.3,91.7,30.0,11.2
107810,383,2271,318,158,160,49.7,50.3,25,22,10,15,7.9,6.9,3.1,4.7,7,266,0,2.6,97.4,0.0,12,306,3.8,96.2,43.0,13.5
107813,383,2275,312,162,150,51.9,48.1,23,7,SUPP,21,7.4,2.2,SUPP,6.7,0,214,0,0.0,100.0,0.0,14,242,5.5,94.5,23.0,9.0
107817,383,2283,153,81,72,52.9,47.1,16,SUPP,0,16,10.5,SUPP,0.0,10.5,9,114,0,7.3,92.7,0.0,29,124,19.0,81.0,43.0,28.1
107820,383,2286,469,241,228,51.4,48.6,18,6,SUPP,16,3.8,1.3,SUPP,3.4,13,325,0,3.8,96.2,0.0,34,364,8.5,91.5,62.0,15.6
