URN,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,TELNUM,ICLOSE,OPENDATE,CLOSEDATE,ISNEW,MINORGROUP,NFTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGEL,AGEH,GENDER,SFGENDER,RELDENOM,ADMPOL,NEWACFLAG,LAT,LNG
107809,383,2270,3832270,Guiseley Infant and Nursery School,Oxford Road,Guiseley,,Leeds,LS20 9DA,01943 873359,1,,,0,Maintained School,Foundation School,1,0,0,3,7,Mixed,Mixed,Does not apply,Not applicable,6,53.8007554,-1.5490774
107810,383,2271,3832271,Rawdon Littlemoor Primary School,New Road Side,Rawdon,,Leeds,LS19 6DD,0113 8879690,1,,,0,Maintained School,Foundation School,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,53.85539559999999,-1.6890566
107813,383,2275,3832275,Scholes (Elmet) Primary School,Station Road,Scholes,,Leeds,LS15 4BJ,0113 2649149,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.8260085,-1.4304712
107817,383,2283,3832283,Horsforth Featherbank Primary School,Featherbank Avenue,Horsforth,,Leeds,LS18 4QP,0113 2144811,1,,,0,Maintained School,Community School,1,0,0,4,11,Mixed,Mixed,Does not apply,Not applicable,6,53.8285501,-1.6481027
107820,383,2286,3832286,Churwell Primary School,Westwood Side,Churwell Morley,,Leeds,LS27 9HR,0113 2527437,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7585783,-1.5963482
107823,383,2292,3832292,Hill Top Primary School,Batley Road,West Ardsley,,Wakefield,WF3 1HD,0113 3074750,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7163695,-1.5765622
107824,383,2293,3832293,Seven Hills Primary School,Appleby Way,Morley,,Leeds,LS27 8LA,0113 2527194,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7469537,-1.5963861
107825,383,2297,3832297,Westerton Primary School,Hesketh Lane,Tingley,,Wakefield,WF3 1AR,0113 2533504,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7242115,-1.5794487
107826,383,2301,3832301,Calverley Parkside Primary School,Victoria Street,Calverley,,Pudsey,LS28 5PQ,0113 2146103,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.8278232,-1.6880511
107827,383,2302,3832302,Westroyd Primary and Nursery School,Frances Street,Farsley,,Pudsey,LS28 5BH,0113 2551601,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.8007554,-1.5490774
107828,383,2303,3832303,Greenside Primary School,Chapeltown,,,Pudsey,LS28 8NZ,0113 2574509,1,,,0,Maintained School,Community School,1,0,0,5,11,Mixed,Mixed,Does not apply,Not applicable,6,53.79201,-1.668113
107830,383,2308,3832308,Carlton Primary School,New Road,Carlton,,Wakefield,WF3 3RE,0113 2146316,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7397212,-1.4916796
107831,383,2309,3832309,Robin Hood Primary School,Leeds Road,Robin Hood,,Wakefield,WF3 3BG,0113 2823444,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.73742900000001,-1.5076334
107832,383,2312,3832312,Thorpe Primary School,Dolphin Lane,Thorpe,,Wakefield,WF3 3DG,0113 3368760,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7341983,-1.5248769
107833,383,2313,3832313,Rothwell Haigh Road Infant School,Haigh Road,Rothwell,,Leeds,LS26 0NQ,0113 2146314,1,,,0,Maintained School,Community School,1,0,0,3,7,Mixed,Mixed,Does not apply,Not applicable,6,53.7552397,-1.4831648
107834,383,2314,3832314,Woodlesford Primary School,Church Street,Woodlesford,,Leeds,LS26 8RD,0113 2146306,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7569327,-1.4478846
107838,383,2321,3832321,Morley Newlands Primary School,Wide Lane,Morley,,Leeds,LS27 8PG,0113 3231890,2,,28/02/2015,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,2,53.74721599999999,-1.581859
107840,383,2324,3832324,Yeadon Westfield Junior School,New Road,Yeadon,,Leeds,LS19 7HW,0113 2503395,1,,,0,Maintained School,Foundation School,1,0,0,7,11,Mixed,Mixed,Does not apply,Not applicable,6,53.8645313,-1.6989135
107841,383,2326,3832326,Pudsey Tyersal Primary School,Tyersal Walk,Tyersal,,Bradford,BD4 8ER,01274 662363,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.78915840000001,-1.7009608
107842,383,2327,3832327,Oulton Primary School,Green Lea,Oulton,,Leeds,LS26 8NT,0113 2821344,1,,,0,Maintained School,Community School,1,0,0,3,11,Mixed,Mixed,Does not apply,Not applicable,6,53.7536922,-1.4579539
107843,383,2328,3832328,Swillington Primary School,Church Lane,Swillington,,Leeds,LS26 8DX,0113 2863220,1,,,0,Maintained School,Foundation School,1,0,0,3,11,Mixed,Mixed,,Not applicable,6,53.769578,-1.418373
