POSTCODE,TOTSENAP,TOWN,PSENSAP,CLOSEDATE,TOTPUPSENDN,AGEH,TSENA,PNUMNOFSM,ISNEW,LAESTAB,ISPOST16,NUMNOFSM,TSENSAP,NORB,LOCALITY,PNORG,NORG,SFGENDER,LAT,ICLOSE,OPENDATE,RELDENOM,NUMFSMEVER,PNUMFSM,LNG,STREET,PNUMUNCFL,ISSECONDARY,ADDRESS3,PNUMFSMEVER,ADMPOL,NUMEAL,GENDER,NUMUNCFL,LA,AGEL,PTOTSENST,SCHNAME,PNUMEAL,URN,PSENA,TOTSENST,PNORB,ISPRIMARY,NUMENGFL,ESTAB,PNUMENGFL,NEWACFLAG,NFTYPE,NUMFSM,MINORGROUP,PTOTSENAP,TELNUM
LS14 6JR,55,Leeds,25.0,,228,11,29,47.8,0,3832452,0,109,57,111,Seacroft,51.3,117,Mixed,53.811235,1,,Does not apply,168.0,52.2,-1.4725922,Moresdale Lane,0.0,0,,73.7,Not applicable,15,Mixed,0,383,3,SUPP,Seacroft Grange Primary School,7.7,107928,12.7,SUPP,48.7,1,181,2452,92.3,6,Community School,119,Maintained School,24.1,0113 2605385
LS10 4QE,54,Leeds,11.0,,490,11,60,72.8,0,3832510,0,302,54,218,,55.5,272,Mixed,53.7490703,1,,Does not apply,181.0,27.2,-1.5271209,Sharp Lane,0.0,0,,43.7,Not applicable,29,Mixed,0,383,3,0.0,Sharp Lane Primary School,8.2,107984,12.2,0,44.5,1,324,2510,91.8,6,Community School,113,Maintained School,11.0,0113 2141702
LS14 6NU,4,Leeds,0.9,,1004,18,94,61.1,0,3836905,1,535,9,538,Seacroft,46.4,466,Mixed,53.81984259999999,1,,Church of England,530.0,38.9,-1.4765346,Bishop's Way,0.0,1,,60.5,Comprehensive,135,Mixed,0,383,11,0.5,David Young Community Academy,13.4,131898,9.4,5,53.6,0,869,6905,86.6,6,Academy Sponsor Led,340,Academy (including Free Schools),0.4,0113 2739100
LS7 4JE,,Leeds,,,,16,,,0,3836119,0,,,,Newton Hill Road,,,Girls,53.8232619,1,,Muslim,,,-1.5312764,Newton Hill House,,1,,,Non selective,,Girls,,383,11,,New Horizon Community School,,130274,,,,0,,6119,,6,Other Independent School,,Independent School,,0113 2624001
LS16 5NW,4,Leeds,2.3,,260,11,8,99.1,0,3832421,0,211,6,124,,52.3,136,Mixed,53.8293208,1,,Does not apply,5.0,SUPP,-1.582834,Weetwood Lane,0.0,0,,2.4,Not applicable,37,Mixed,0,383,3,SUPP,Weetwood Primary School,20.3,107897,3.1,SUPP,47.7,1,145,2421,79.7,6,Community School,SUPP,Maintained School,1.5,0113 3230450
LS17 7TN,10,Leeds,4.4,,272,11,SUPP,92.8,0,3833915,0,218,12,118,Wentworth Avenue,56.6,154,Mixed,53.853741,1,,Jewish,27.0,7.2,-1.543707,George Lyttleton Centre,0.0,0,,11.5,Not applicable,22,Mixed,0,383,3,SUPP,Brodetsky Primary School,11.1,108054,SUPP,SUPP,43.4,1,176,3915,88.9,6,Voluntary Aided School,17,Maintained School,3.7,0113 2930578
LS13 2DX,21,Leeds,11.6,,189,11,15,84.1,0,3833369,0,159,22,109,Bramley,42.3,80,Mixed,53.8069749,1,,Roman Catholic,40.0,15.9,-1.6172389,Kings Approach,0.0,0,,21.2,Not applicable,33,Mixed,0,383,5,SUPP,Christ The King Catholic Primary School,20.6,108023,7.9,SUPP,57.7,1,127,3369,79.4,6,Voluntary Aided School,30,Maintained School,11.1,0113 2146106
LS22 6RT,12,Wetherby,5.2,,250,11,10,96.6,0,3832347,0,201,13,150,,40.0,100,Mixed,53.9311666,1,,Does not apply,32.0,3.4,-1.3899623,Crossley Street,0.0,0,,15.4,Not applicable,8,Mixed,0,383,3,SUPP,Crossley Street Primary School,4.5,107854,4.0,SUPP,60.0,1,170,2347,95.5,6,Community School,7,Maintained School,4.8,01937 520301
LS28 9BB,21,Pudsey,10.0,,211,11,16,89.6,0,3832365,0,189,21,118,,44.1,93,Mixed,53.7967295,1,,Does not apply,46.0,10.4,-1.6545087,Kent Road,0.0,0,,21.8,Not applicable,6,Mixed,0,383,5,0.0,Lowtown Primary School,3.3,107862,7.6,0,55.9,1,175,2365,96.7,6,Community School,22,Maintained School,10.0,0113 2567303
LS12 5EX,18,Leeds,7.8,,255,11,10,74.8,0,3832497,0,157,20,130,Old Farnley,49.0,125,Mixed,53.7859192,1,,Does not apply,75.0,25.2,-1.6206916,Chapel Lane,0.0,0,,35.7,Not applicable,8,Mixed,0,383,3,SUPP,Lawns Park Primary School,4.4,107973,3.9,SUPP,51.0,1,172,2497,95.6,6,Community School,53,Maintained School,7.1,0113 2637364
LS17 5HX,3,Leeds,1.2,,497,11,36,87.6,0,3832436,0,369,6,260,,47.7,237,Mixed,53.8506052,1,,Does not apply,99.0,12.4,-1.55588,Cranmer Rise,0.0,0,,23.6,Not applicable,77,Mixed,0,383,3,0.6,Alwoodley Primary School,21.4,107912,7.2,3,52.3,1,283,2436,78.6,6,Community School,52,Maintained School,0.6,0113 2686104
LS8 1AF,11,Leeds,3.6,,497,11,14,95.1,0,3832432,0,405,18,276,Roundhay,44.5,221,Mixed,53.8420709,1,,Does not apply,28.0,4.9,-1.5168217,East Moor Road,SUPP,0,,6.6,Not applicable,32,Mixed,SUPP,383,3,1.4,Talbot Primary School,8.9,107908,2.8,7,55.5,1,328,2432,90.9,6,Community School,21,Maintained School,2.2,0113 2934086
LS12 5AW,22,Leeds,12.0,30/04/2014,191,11,9,52.9,0,3832501,0,101,23,101,Farnley,47.1,90,Mixed,53.7909223,2,,Does not apply,116.0,47.1,-1.6175639,Stonebridge Grove,0.0,0,,60.7,Not applicable,18,Mixed,0,383,4,SUPP,Ryecroft Primary School,11.0,107977,4.7,SUPP,52.9,1,145,2501,89.0,4,Community School,90,Maintained School,11.5,0113 2632433
LS21 2BS,29,Otley,15.3,,196,11,7,91.8,0,3832405,0,180,30,98,,50.0,98,Mixed,53.9178237,1,,Does not apply,22.0,8.2,-1.691109,The Whartons,0.0,0,,11.2,Not applicable,0,Mixed,0,383,5,SUPP,Otley the Whartons Primary School,0.0,107881,3.6,SUPP,50.0,1,168,2405,100.0,6,Community School,16,Maintained School,14.8,01943 465018
LS9 7DH,45,Leeds,11.1,,423,11,62,48.1,1,3832007,0,179,47,210,,50.4,213,Mixed,53.8023395,1,,Does not apply,246.0,51.9,-1.5106952,Torre Drive,SUPP,0,,66.3,Not applicable,134,Mixed,SUPP,383,3,SUPP,Brownhill Primary Academy,43.2,138986,14.7,SUPP,49.6,1,175,2007,56.5,6,Academy Sponsor Led,193,Academy (including Free Schools),10.6,0113 2489539
LS9 8LA,60,Leeds,7.2,,904,16,138,75.0,0,3834753,0,676,65,448,,50.4,456,Mixed,53.79386,1,,Roman Catholic,444.0,25.0,-1.52688,Ellerby Road,0.0,1,,49.1,Comprehensive,323,Mixed,0,383,11,0.6,Mount St Mary's Catholic High School,35.7,108097,15.3,5,49.6,0,581,4753,64.3,6,Voluntary Aided School,225,Maintained School,6.6,0113 2455248
LS9 0HA,34,Leeds,10.5,,352,11,25,70.2,0,3833370,0,247,37,185,,47.4,167,Mixed,53.79708129999999,1,,Roman Catholic,165.0,29.8,-1.4860625,Halton Moor Avenue,0.0,0,,46.9,Not applicable,74,Mixed,0,383,4,0.9,Corpus Christi Catholic Primary School,24.1,108024,7.1,3,52.6,1,233,3370,75.9,6,Voluntary Aided School,105,Maintained School,9.7,0113 2483095
LS2 7QT,,Leeds,,,,99,,,0,3838008,1,,,,,,,Mixed,53.802906,1,,Does not apply,,,-1.536197,North Street,,0,,,Not applicable,,Mixed,,383,16,,Leeds College of Building,,130542,,,,0,,8008,,6,General Further Education College,,College,,0113 2226000
LS25 7JL,29,Leeds,8.5,,386,11,35,82.7,0,3832801,0,259,33,205,Kippax,46.9,181,Mixed,53.7689628,1,,,94.0,17.3,-1.3650774,Gibson Lane,0.0,0,,30.5,Not applicable,3,Mixed,0,383,3,1.0,Kippax Ash Tree Primary School,1.2,131467,9.1,4,53.1,1,249,2801,98.8,6,Foundation School,54,Maintained School,7.5,0113 3862590
LS12 4NB,42,Leeds,9.4,,481,11,12,88.9,0,3832492,0,362,45,242,Wortley,49.7,239,Mixed,53.7906445,1,,Does not apply,85.0,11.1,-1.589646,Stradbroke Way,0.0,0,,20.9,Not applicable,33,Mixed,0,383,3,0.6,Five Lanes Primary School,9.5,107968,2.5,3,50.3,1,314,2492,90.5,6,Community School,45,Maintained School,8.7,0113 2790122
LS25 4AQ,6,Leeds,6.9,,102,11,SUPP,74.1,0,3833040,0,60,7,61,Micklefield,40.2,41,Mixed,53.7965905,1,,Church of England,34.0,25.9,-1.3313448,Great North Road,0.0,0,,41.0,Not applicable,0,Mixed,0,383,3,SUPP,Micklefield Church of England Voluntary Controlled Primary School,0.0,107992,SUPP,SUPP,59.8,1,72,3040,100.0,6,Voluntary Controlled School,21,Maintained School,5.9,0113 3368668
LS23 6DB,6,Wetherby,4.1,,147,11,10,95.2,0,3833047,0,140,6,85,Boston Spa,42.2,62,Mixed,53.90099439999999,1,,Church of England,15.0,4.8,-1.3457664,Clifford Road,0.0,0,,10.2,Not applicable,0,Mixed,0,383,4,0.0,St Mary's Church of England Controlled Primary School Boston Spa,0.0,107997,6.8,0,57.8,1,128,3047,100.0,6,Voluntary Controlled School,7,Maintained School,4.1,01937 844395
LS7 3QF,25,Leeds,7.3,,400,11,29,86.0,0,3833908,0,344,29,204,,49.0,196,Mixed,53.83141990000001,1,,Church of England,79.0,14.0,-1.5423495,Wood Lane,SUPP,0,,19.8,Not applicable,24,Mixed,SUPP,383,4,1.0,St Matthew's Church of England Aided Primary School,7.0,108047,7.3,4,51.0,1,316,3908,92.7,6,Voluntary Aided School,56,Maintained School,6.3,0113 2681489
